poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
78679,1508,Harris Poll,763,Harvard CAPS,Harris Poll,133,Harris Insights & Analytics,B+,Online,,3/23/22,3/24/22,,"",,154200,1990,rv,,rv,,3/29/22 09:59,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/8268fbf4-a318-713b-ed6e-8c25f5df1f41/HHP_March2022_FinalEdited.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,41.0
78679,1508,Harris Poll,763,Harvard CAPS,Harris Poll,133,Harris Insights & Analytics,B+,Online,,3/23/22,3/24/22,,"",,154200,1990,rv,,rv,,3/29/22 09:59,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/8268fbf4-a318-713b-ed6e-8c25f5df1f41/HHP_March2022_FinalEdited.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,47.0
78679,1508,Harris Poll,763,Harvard CAPS,Harris Poll,133,Harris Insights & Analytics,B+,Online,,3/23/22,3/24/22,,"",,154201,1990,rv,,rv,,3/29/22 09:59,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/8268fbf4-a318-713b-ed6e-8c25f5df1f41/HHP_March2022_FinalEdited.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Harris,16661,Kamala Harris,38.0
78679,1508,Harris Poll,763,Harvard CAPS,Harris Poll,133,Harris Insights & Analytics,B+,Online,,3/23/22,3/24/22,,"",,154201,1990,rv,,rv,,3/29/22 09:59,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/8268fbf4-a318-713b-ed6e-8c25f5df1f41/HHP_March2022_FinalEdited.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,49.0
78679,1508,Harris Poll,763,Harvard CAPS,Harris Poll,133,Harris Insights & Analytics,B+,Online,,3/23/22,3/24/22,,"",,154202,1990,rv,,rv,,3/29/22 09:59,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/8268fbf4-a318-713b-ed6e-8c25f5df1f41/HHP_March2022_FinalEdited.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Harris,16661,Kamala Harris,40.0
78679,1508,Harris Poll,763,Harvard CAPS,Harris Poll,133,Harris Insights & Analytics,B+,Online,,3/23/22,3/24/22,,"",,154202,1990,rv,,rv,,3/29/22 09:59,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/8268fbf4-a318-713b-ed6e-8c25f5df1f41/HHP_March2022_FinalEdited.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,DeSantis,16646,Ron DeSantis,38.0
78668,1702,Blueprint Polling,"","",Blueprint Polling,470,Chism Strategies,,Live Phone,Nevada,3/21/22,3/24/22,,"",,154155,671,lv,,lv,,3/26/22 14:26,"",https://blueprintpolling.com/2022/03/25/hispanic-voters-wary-of-biden-in-nv-survey/,"",false,,8857,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,34.2
78668,1702,Blueprint Polling,"","",Blueprint Polling,470,Chism Strategies,,Live Phone,Nevada,3/21/22,3/24/22,,"",,154155,671,lv,,lv,,3/26/22 14:26,"",https://blueprintpolling.com/2022/03/25/hispanic-voters-wary-of-biden-in-nv-survey/,"",false,,8857,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,44.1
78698,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,A/B,Online,,3/14/22,3/24/22,,"",,154355,1004,a,,a,,4/1/22 10:02,"",https://law.marquette.edu/poll/2022/03/31/marquette-supreme-court-poll-march-2022-national-issues/,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,38.0
78698,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,A/B,Online,,3/14/22,3/24/22,,"",,154355,1004,a,,a,,4/1/22 10:02,"",https://law.marquette.edu/poll/2022/03/31/marquette-supreme-court-poll-march-2022-national-issues/,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,DeSantis,16646,Ron DeSantis,33.0
78698,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,A/B,Online,,3/14/22,3/24/22,,"",,154356,1004,a,,a,,4/1/22 10:02,"",https://law.marquette.edu/poll/2022/03/31/marquette-supreme-court-poll-march-2022-national-issues/,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,37.0
78698,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,A/B,Online,,3/14/22,3/24/22,,"",,154356,1004,a,,a,,4/1/22 10:02,"",https://law.marquette.edu/poll/2022/03/31/marquette-supreme-court-poll-march-2022-national-issues/,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Pence,16638,Mike Pence,33.0
78698,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,A/B,Online,,3/14/22,3/24/22,,"",,154357,1004,a,,a,,4/1/22 10:02,"",https://law.marquette.edu/poll/2022/03/31/marquette-supreme-court-poll-march-2022-national-issues/,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,41.0
78698,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,A/B,Online,,3/14/22,3/24/22,,"",,154357,1004,a,,a,,4/1/22 10:02,"",https://law.marquette.edu/poll/2022/03/31/marquette-supreme-court-poll-march-2022-national-issues/,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,37.0
78662,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online,,3/17/22,3/22/22,,"",,154120,1000,lv,,lv,,3/24/22 13:01,"",https://mclaughlinonline.com/pols/wp-content/uploads/2022/03/National-Monthly-Release-March-2022-.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,46.0
78662,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online,,3/17/22,3/22/22,,"",,154120,1000,lv,,lv,,3/24/22 13:01,"",https://mclaughlinonline.com/pols/wp-content/uploads/2022/03/National-Monthly-Release-March-2022-.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,49.0
78662,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online,,3/17/22,3/22/22,,"",,154121,1000,lv,,lv,,3/24/22 13:01,"",https://mclaughlinonline.com/pols/wp-content/uploads/2022/03/National-Monthly-Release-March-2022-.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Harris,16661,Kamala Harris,42.0
78662,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online,,3/17/22,3/22/22,,"",,154121,1000,lv,,lv,,3/24/22 13:01,"",https://mclaughlinonline.com/pols/wp-content/uploads/2022/03/National-Monthly-Release-March-2022-.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,50.0
78662,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online,,3/17/22,3/22/22,,"",,154122,1000,lv,,lv,,3/24/22 13:01,"",https://mclaughlinonline.com/pols/wp-content/uploads/2022/03/National-Monthly-Release-March-2022-.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Clinton,28751,Hillary Rodham Clinton,41.0
78662,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online,,3/17/22,3/22/22,,"",,154122,1000,lv,,lv,,3/24/22 13:01,"",https://mclaughlinonline.com/pols/wp-content/uploads/2022/03/National-Monthly-Release-March-2022-.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,51.0
78641,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,B/C,Online,,3/18/22,3/21/22,,"",,153964,1050,lv,,lv,,3/22/22 14:53,"",https://echeloninsights.com/in-the-news/march-22-omnibus-political-update/,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,46.0
78641,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,B/C,Online,,3/18/22,3/21/22,,"",,153964,1050,lv,,lv,,3/22/22 14:53,"",https://echeloninsights.com/in-the-news/march-22-omnibus-political-update/,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,44.0
78641,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,B/C,Online,,3/18/22,3/21/22,,"",,153965,1050,lv,,lv,,3/22/22 14:53,"",https://echeloninsights.com/in-the-news/march-22-omnibus-political-update/,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,41.0
